(173,742)
(582,227)
(365,936)
(588,739)
(191,510)
(721,716)
(329,885)
(842,106)
(227,14)
(857,927)
(677,958)
(986,746)
(731,430)
(787,649)
(149,21)
(328,138)
(644,101)
(213,734)
(386,171)
(822,543)
(810,915)
(219,676)
(48,84)
(472,867)
(17,400)
(844,974)
(254,463)
(64,369)
(533,60)
(283,906)
(505,656)
(923,722)
(411,357)
(958,315)
(313,381)
(602,539)
(909,13)
(74,576)
(777,916)
(834,764)
(227,177)
(949,876)
(411,244)
(109,323)
(412,922)
(690,532)
(834,359)
(118,935)
(529,72)
(489,771)
(399,455)
(529,726)
(915,186)
(21,241)
(541,805)
(81,232)
(375,743)
(92,600)
(61,451)
(552,969)
(641,393)
(74,670)
(434,508)
(51,258)
(446,556)
(438,78)
(214,111)
(635,129)
(177,571)
(611,599)
(139,776)
(637,565)
(375,20)
(8,59)
(963,70)
(98,226)
(419,599)
(9,569)
(377,542)
(128,731)
(843,803)
(948,547)
(637,134)
(224,563)
(745,985)
(53,289)
(684,683)
(590,11)
(370,606)
(91,572)
(117,220)
(884,39)
(338,582)
(32,188)
(813,196)
(958,881)
(255,252)
(125,971)
(628,908)
(335,333)
